section name,subnet,description
Oconee,172.17.100.0/22,Imported from AD Sites and Services - LAN - 172.17.100.x - 172.17.103.x
Oconee,172.17.104.0/22,Imported from AD Sites and Services - LAN - 172.17.104.x - 172.17.107.x
Oconee,172.17.11.0/24,Imported from AD Sites and Services - Oconee Voice 2
Oconee,172.17.12.0/22,Imported from AD Sites and Services - Oconee Wireless
Oconee,172.17.2.0/24,Imported from AD Sites and Services - Oconee Wireless
Oconee,172.17.20.0/23,Imported from AD Sites and Services - 
Oconee,172.17.200.0/23,Imported from AD Sites and Services - LAN - Oconee Closet A (Transformers)
Oconee,172.17.202.0/23,Imported from AD Sites and Services - 
Oconee,172.17.204.0/23,Imported from AD Sites and Services - LAN - Oconee Closet B (ACCT)
Oconee,172.17.206.0/23,Imported from AD Sites and Services - 
Oconee,172.17.210.0/23,Imported from AD Sites and Services - 
Oconee,172.17.214.0/23,Imported from AD Sites and Services - 
Oconee,172.17.216.0/23,Imported from AD Sites and Services - LAN - Oconee Closet E (Electronics)
Oconee,172.17.218.0/23,Imported from AD Sites and Services - 
Oconee,172.17.220.0/23,Imported from AD Sites and Services - LAN - Oconee Closet F (C&I)
Oconee,172.17.222.0/23,Imported from AD Sites and Services - 
Oconee,172.17.224.0/23,Imported from AD Sites and Services - LAN - Oconee Closet G (Shipping)
Oconee,172.17.226.0/23,Imported from AD Sites and Services - 
Oconee,172.17.228.0/23,Imported from AD Sites and Services - LAN - Oconee Closet H (Purchasing)
Oconee,172.17.230.0/23,Imported from AD Sites and Services - 
Oconee,172.17.232.0/23,Imported from AD Sites and Services - LAN - Oconee Closet J (IT)
Oconee,172.17.234.0/23,Imported from AD Sites and Services - 
Oconee,172.17.32.0/19,Imported from AD Sites and Services - LAN - 172.17.32.x - 172.17.63.x
Oconee,172.17.40.0/24,Imported from AD Sites and Services - LAN - 172.17.40.x - 172.17.43.x
Oconee,172.17.41.0/24,Imported from AD Sites and Services - 
Oconee,172.17.5.0/24,Imported from AD Sites and Services - VPN
Oconee,172.17.64.0/22,Imported from AD Sites and Services - LAN - 172.17.64.x - 172.17.67.x
Oconee,172.17.78.0/23,Imported from AD Sites and Services - 
Oldenburg,172.23.58.0/24,Imported from AD Sites and Services - Oldenburg Wireless
Oporto,172.23.98.0/24,"Imported from AD Sites and Services - Oporto, PT"
Oporto,172.23.99.0/24,Imported from AD Sites and Services - 
Owenton,172.23.16.0/23,Imported from AD Sites and Services - LAN - Owenton
Owenton,172.23.18.0/24,Imported from AD Sites and Services - 
Owenton,172.23.19.0/24,Imported from AD Sites and Services - 
Owenton,172.23.216.0/24,Imported from AD Sites and Services - Owenton Phones
Philadelphia,192.168.60.0/24,Imported from AD Sites and Services - LAN
Raleigh,10.144.0.0/12,Imported from AD Sites and Services - 
Raleigh,172.21.0.0/23,Imported from AD Sites and Services - Raleigh
Raleigh,172.21.10.0/23,Imported from AD Sites and Services - Raleigh
Raleigh,172.21.12.0/23,Imported from AD Sites and Services - Raleigh
Raleigh,172.21.14.0/23,Imported from AD Sites and Services - Raleigh
Raleigh,172.21.2.0/23,Imported from AD Sites and Services - Raleigh
Raleigh,172.21.22.0/23,Imported from AD Sites and Services - Raleigh
Raleigh,172.21.32.0/23,Imported from AD Sites and Services - Raleigh
Raleigh,172.21.34.0/24,Imported from AD Sites and Services - Raleigh
Raleigh,172.21.35.0/24,Imported from AD Sites and Services - Raleigh
Raleigh,172.21.4.0/23,Imported from AD Sites and Services - Raleigh
Raleigh,172.21.6.0/23,Imported from AD Sites and Services - Raleigh
Raleigh,172.21.8.0/23,Imported from AD Sites and Services - Raleigh
Raleigh,172.29.0.0/20,Imported from AD Sites and Services - Azure
Raleigh,172.29.64.0/20,Imported from AD Sites and Services - Azure
Raleigh,192.168.143.0/24,Imported from AD Sites and Services - Raleigh
Raleigh,192.168.145.0/24,Imported from AD Sites and Services - LAN
Raleigh,192.168.151.0/24,Imported from AD Sites and Services - Management
Raleigh,192.168.168.0/23,Imported from AD Sites and Services - VPN
Raleigh,192.168.178.0/24,Imported from AD Sites and Services - LAN
Raleigh,192.168.180.0/24,Imported from AD Sites and Services - Raleigh
Raleigh,192.168.187.0/24,Imported from AD Sites and Services - VMS - servers
Raleigh,192.168.216.0/24,Imported from AD Sites and Services - IP Phones
Raleigh,192.168.217.0/24,Imported from AD Sites and Services - IP Phones
Regina,172.17.80.0/24,Imported from AD Sites and Services - LAN - 172.17.80.x - 172.17.83.x
Reims,172.23.183.0/24,Imported from AD Sites and Services - Reims
Reims,172.23.45.0/24,Imported from AD Sites and Services - Reims
San Diego,192.168.234.0/24,Imported from AD Sites and Services - IP Phones
San-Antonio,10.140.73.0/25,Imported from AD Sites and Services - SSNI
San-Antonio,10.140.73.128/25,Imported from AD Sites and Services - SSNI
San-Antonio,10.140.74.0/24,Imported from AD Sites and Services - SSNI
San-Antonio,10.140.75.0/26,Imported from AD Sites and Services - SSNI
San-Antonio,10.140.75.128/25,Imported from AD Sites and Services - SSNI
San-Antonio,10.140.75.64/27,Imported from AD Sites and Services - SSNI
San-Diego,192.168.84.0/24,Imported from AD Sites and Services - Wireless
San-Diego,10.132.0.0/16,Imported from AD Sites and Services - SSNI
San-Diego,10.29.0.0/16,Imported from AD Sites and Services - SSNI
San-Diego,10.140.89.0/25,Imported from AD Sites and Services - SSNI
San-Diego,10.140.89.128/25,Imported from AD Sites and Services - SSNI
San-Diego,10.140.90.0/24,Imported from AD Sites and Services - SSNI
San-Diego,10.140.91.32/27,Imported from AD Sites and Services - SSNI
San-Jose,10.140.129.0/24,Imported from AD Sites and Services - SSNI
San-Jose,10.200.0.0/22,Imported from AD Sites and Services - SSNI
San-Jose,10.209.224.0/23,Imported from AD Sites and Services - SSNI
San-Jose,10.210.0.0/16,Imported from AD Sites and Services - SSNI
San-Jose,10.230.0.0/16,Imported from AD Sites and Services - SSNI
San-Jose,10.55.0.0/16,Imported from AD Sites and Services - SSNI
San-Jose,10.57.0.0/16,Imported from AD Sites and Services - SSNI
Santiago,172.23.23.0/24,Imported from AD Sites and Services - Santiago
Sao-Paulo,10.140.16.0/24,Imported from AD Sites and Services - SSNI
Sao-Paulo,10.140.23.0/24,Imported from AD Sites and Services - SSNI
Singapore,172.23.13.64/26,Imported from AD Sites and Services - Singapore
Singapore,172.23.221.0/24,Imported from AD Sites and Services - Singapore
Singapore,10.140.132.0/24,Imported from AD Sites and Services - SSNI
Singapore,10.140.133.0/24,Imported from AD Sites and Services - SSNI
Singapore,10.140.134.128/25,Imported from AD Sites and Services - SSNI
Spokane,10.160.0.0/12,Imported from AD Sites and Services - Azure
Spokane,192.168.101.0/24,Imported from AD Sites and Services - LAN - Switch Management addresses
Spokane,192.168.105.0/24,Imported from AD Sites and Services - LAN - Device management subnet
Spokane,192.168.11.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.12.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.14.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.156.0/24,Imported from AD Sites and Services - VPN
Spokane,192.168.16.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.162.0/24,Imported from AD Sites and Services - VPN
Spokane,192.168.163.0/24,Imported from AD Sites and Services - VPN
Spokane,192.168.17.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.18.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.199.0/24,Imported from AD Sites and Services - LAN - UPS Monitoring/Management
Spokane,192.168.201.0/24,Imported from AD Sites and Services - IP Phones
Spokane,192.168.202.0/24,Imported from AD Sites and Services - IP Phones
Spokane,192.168.203.0/24,Imported from AD Sites and Services - IP Phones
Spokane,192.168.204.0/24,Imported from AD Sites and Services - IP phones
Spokane,192.168.205.0/24,Imported from AD Sites and Services - IP Phones
Spokane,192.168.206.0/24,Imported from AD Sites and Services - IP Phones
Spokane,192.168.207.0/24,Imported from AD Sites and Services - IP Phones
Spokane,192.168.208.0/24,Imported from AD Sites and Services - IP Phones
Spokane,192.168.209.0/24,Imported from AD Sites and Services - IP Phones
Spokane,192.168.21.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.22.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.223.0/24,Imported from AD Sites and Services - IP Phones
Spokane,192.168.224.0/24,Imported from AD Sites and Services - IP Phones
Spokane,192.168.225.0/24,Imported from AD Sites and Services - Amsterdam Phones
Spokane,192.168.23.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.24.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.25.0/24,Imported from AD Sites and Services - Wireless
Spokane,192.168.27.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.28.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.34.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.35.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.38.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.4.0/24,Imported from AD Sites and Services - LAN - vm
Spokane,192.168.40.0/24,"Imported from AD Sites and Services - IST Lab, Spokane, WA"
Spokane,192.168.41.0/24,Imported from AD Sites and Services - Spokane (lab)
Spokane,192.168.42.0/24,Imported from AD Sites and Services - Spokane (lab)
Spokane,192.168.43.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.44.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.57.0/24,Imported from AD Sites and Services - FCS Lab
Spokane,192.168.58.0/24,Imported from AD Sites and Services - Spokane (lab)
Spokane,192.168.6.0/24,Imported from AD Sites and Services - LAN - Printers
Spokane,192.168.7.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.8.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.80.0/26,Imported from AD Sites and Services - SCE outsouce (Santa Fe Springs)
Spokane,192.168.90.112/28,Imported from AD Sites and Services - Remote ASA VPN
Spokane,192.168.90.128/28,Imported from AD Sites and Services - Remote ASA VPN
Spokane,192.168.90.96/28,Imported from AD Sites and Services - Remote ASA VPN
Spokane,192.168.97.0/24,Imported from AD Sites and Services - LAN
Spokane,192.168.99.0/24,Imported from AD Sites and Services - LAN - routers/switches
Sumare,172.23.170.0/24,Imported from AD Sites and Services - 
Sumare,172.23.171.0/24,Imported from AD Sites and Services - Sumare Wireless
Sumare,172.23.20.0/23,Imported from AD Sites and Services - Sumare
Suzhou,172.23.142.0/24,"Imported from AD Sites and Services - Suzhou, CN"
Sydney,192.168.160.0/24,Imported from AD Sites and Services - Aus VPN Pool
Taipei,172.17.92.0/24,Imported from AD Sites and Services - LAN - 172.17.92.x - 172.17.95.x
Taipei,172.17.93.0/24,Imported from AD Sites and Services - 
Taipei,172.17.94.0/24,Imported from AD Sites and Services - 
Taipei,172.17.95.0/24,Imported from AD Sites and Services - 
Vancouver,192.168.75.0/24,Imported from AD Sites and Services - LAN
Waseca,10.143.0.0/16,Imported from AD Sites and Services - 
Waseca,172.20.53.0/24,Imported from AD Sites and Services - Guest WIFI
Waseca,172.21.128.0/23,Imported from AD Sites and Services - USERDATA_1
Waseca,172.21.130.0/23,Imported from AD Sites and Services - USERDATA_2
Waseca,172.21.132.0/23,Imported from AD Sites and Services - MFGDATA_1
Waseca,172.21.134.0/23,Imported from AD Sites and Services - R&DDATA_1
Waseca,172.21.136.0/24,Imported from AD Sites and Services - WIRED-VOIP_1
Waseca,172.21.137.0/24,Imported from AD Sites and Services - WIRED-VOIP_2
Waseca,172.21.138.0/24,Imported from AD Sites and Services - WIRED-VOIP_3
Waseca,172.21.139.0/24,Imported from AD Sites and Services - WIRED-VOIP_4
Waseca,172.21.140.0/24,Imported from AD Sites and Services - WiFi
Waseca,172.21.146.0/24,Imported from AD Sites and Services - PHYS_SRVRS
Waseca,192.168.10.0/24,Imported from AD Sites and Services - LAN
Waseca,192.168.211.0/24,Imported from AD Sites and Services - IP Phones
Waseca,192.168.212.0/24,Imported from AD Sites and Services - IP Phones
Waseca,192.168.213.0/24,Imported from AD Sites and Services - IP Phones
Waseca,192.168.214.0/24,Imported from AD Sites and Services - IP Phones
Waseca,192.168.32.0/24,Imported from AD Sites and Services - Waseca
Waseca,192.168.74.0/24,Imported from AD Sites and Services - LAN
